actor,date,speaking_turn_count,total_word_count,unique_word_count,avg_words_per_turn,avg_unique_words_per_turn
Nixon,1960-09-26,10,4111,820,411.1,82.0
Kennedy,1960-09-26,17,4693,953,276.05882352941177,56.05882352941177
Voice,1960-09-26,1,14,14,14.0,14.0
Fleming,1960-09-26,2,369,148,184.5,74.0
Warren,1960-09-26,4,268,166,67.0,41.5
Vanocur,1960-09-26,4,321,168,80.25,42.0
Smith,1960-09-26,23,571,222,24.82608695652174,9.652173913043478
Novins,1960-09-26,5,162,100,32.4,20.0
Levy,1960-10-07,4,1126,393,281.5,98.25
Morgan,1960-10-07,3,142,105,47.333333333333336,35.0
Niven,1960-10-07,3,174,93,58.0,31.0
McGee,1960-10-07,0,0,0,,
Spivak,1960-10-07,3,157,103,52.333333333333336,34.333333333333336
Mcgee,1960-10-07,27,590,213,21.85185185185185,7.888888888888889
Kennedy,1960-10-07,13,4403,1003,338.6923076923077,77.15384615384616
Nixon,1960-10-07,12,4336,945,361.3333333333333,78.75
Cater,1960-10-13,3,276,154,92.0,51.333333333333336
Nixon,1960-10-13,14,4642,934,331.57142857142856,66.71428571428571
Drummond,1960-10-13,4,346,186,86.5,46.5
Von Fremd,1960-10-13,0,0,0,,
Mcgee,1960-10-13,3,217,132,72.33333333333333,44.0
Kennedy,1960-10-13,14,4018,967,287.0,69.07142857142857
Shadel,1960-10-13,29,829,287,28.586206896551722,9.89655172413793
Howe,1960-10-21,21,634,220,30.19047619047619,10.476190476190476
Edwards,1960-10-21,2,135,90,67.5,45.0
Cronkite,1960-10-21,2,144,87,72.0,43.5
Singiser,1960-10-21,1,76,52,76.0,52.0
Chancellor,1960-10-21,2,166,97,83.0,48.5
Kennedy,1960-10-21,11,4878,986,443.45454545454544,89.63636363636364
Nixon,1960-10-21,10,4617,948,461.7,94.8
Ford,1976-09-23,18,5011,987,278.3888888888889,54.833333333333336
Gannon,1976-09-23,7,562,242,80.28571428571429,34.57142857142857
Newman,1976-09-23,29,750,276,25.862068965517242,9.517241379310345
Carter,1976-09-23,23,6353,1288,276.2173913043478,56.0
Reynolds,1976-09-23,8,663,310,82.875,38.75
Drew,1976-09-23,9,627,265,69.66666666666667,29.444444444444443
Frankel,1976-10-06,8,864,383,108.0,47.875
Frederick,1976-10-06,30,651,228,21.7,7.6
Trewhitt,1976-10-06,7,591,283,84.42857142857143,40.42857142857143
Frederic,1976-10-06,1,7,7,7.0,7.0
Ford,1976-10-06,19,4730,1014,248.94736842105263,53.36842105263158
Carter,1976-10-06,18,5701,1221,316.72222222222223,67.83333333333333
Valeriani,1976-10-06,6,347,166,57.833333333333336,27.666666666666668
Carter,1976-10-22,17,5711,1303,335.94117647058823,76.6470588235294
Walters,1976-10-22,31,815,279,26.29032258064516,9.0
Ford,1976-10-22,21,4780,1101,227.61904761904762,52.42857142857143
Kraft,1976-10-22,9,1014,400,112.66666666666667,44.44444444444444
Maynard,1976-10-22,6,506,274,84.33333333333333,45.666666666666664
Nelson,1976-10-22,6,580,240,96.66666666666667,40.0
Moyers,1980-09-21,31,451,207,14.548387096774194,6.67741935483871
Reagan,1980-09-21,15,3786,967,252.4,64.46666666666667
Corddry,1980-09-21,1,58,51,58.0,51.0
Anderson,1980-09-21,13,3697,1023,284.38461538461536,78.6923076923077
Golden,1980-09-21,2,45,43,22.5,21.5
Quinn,1980-09-21,1,55,47,55.0,47.0
May,1980-09-21,1,49,44,49.0,44.0
Greenberg,1980-09-21,1,43,36,43.0,36.0
Loomis,1980-09-21,1,453,218,453.0,218.0
Ellis,1980-10-28,5,434,201,86.8,40.2
Stone,1980-10-28,5,500,222,100.0,44.4
Carter,1980-10-28,26,5774,1305,222.07692307692307,50.19230769230769
Reagan,1980-10-28,24,5972,1275,248.83333333333334,53.125
Hilliard,1980-10-28,5,362,131,72.4,26.2
Walters,1980-10-28,6,581,225,96.83333333333333,37.5
Smith,1980-10-28,50,741,211,14.82,4.22
Walters,1984-10-07,38,1109,336,29.18421052631579,8.842105263157896
Mondale,1984-10-07,28,5080,1098,181.42857142857142,39.214285714285715
Ridings,1984-10-07,1,109,72,109.0,72.0
descriptor,1984-10-07,1,19,15,19.0,15.0
Barnes,1984-10-07,10,411,182,41.1,18.2
The President,1984-10-07,0,0,0,,
Sawyer,1984-10-07,12,722,274,60.166666666666664,22.833333333333332
Wieghart,1984-10-07,13,1360,473,104.61538461538461,36.38461538461539
Quarles,1984-10-11,9,391,200,43.44444444444444,22.22222222222222
Mashek,1984-10-11,8,374,209,46.75,26.125
Vanocur,1984-10-11,30,486,187,16.2,6.233333333333333
Bush,1984-10-11,25,5452,1214,218.08,48.56
Boyd,1984-10-11,10,504,260,50.4,26.0
White,1984-10-11,8,883,404,110.375,50.5
Ferraro,1984-10-11,28,5882,1253,210.07142857142858,44.75
Ridings,1984-10-21,1,105,79,105.0,79.0
Audience Member,1984-10-21,0,0,0,,
Newman,1984-10-21,32,413,144,12.90625,4.5
Kondracke,1984-10-21,9,536,283,59.55555555555556,31.444444444444443
The President,1984-10-21,0,0,0,,
Geyer,1984-10-21,8,707,321,88.375,40.125
descriptor,1984-10-21,1,48,36,48.0,36.0
Mondale,1984-10-21,25,5128,1198,205.12,47.92
Kalb,1984-10-21,8,530,243,66.25,30.375
